id,case_id,status,ai_recommendation,reason,created_at
APP-1b2e49ce,CASE-1032,PENDING,"Recommend REMIND delay 30m. Amount ₹8,500.00 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T18:16:04.270951
APP-cd3708fe,CASE-1088,PENDING,"Recommend RETRY delay 30m. Amount ₹2,000.00 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T08:16:04.272959
APP-c53d515e,CASE-1102,PENDING,"Recommend ESCALATE delay 30m. Amount ₹75,000.00 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:04.272959
APP-d7f8b95a,CASE-2005,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T01:16:04.272959
APP-e4db130a,CASE-2006,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T22:16:04.272959
APP-fa2ca749,CASE-2008,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T21:16:04.272959
APP-ba0a865c,CASE-2009,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:04.272959
APP-6ccb85bb,CASE-2010,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:04.272959
APP-daf400a1,CASE-2011,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:04.272959
APP-d5d5ddd9,CASE-2012,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T08:16:04.272959
APP-e7bf72cb,CASE-2013,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T04:16:04.272959
APP-caf745ec,CASE-2014,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T22:16:04.272959
APP-2c77d36c,CASE-2015,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:04.272959
APP-b86d5990,CASE-2016,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T09:16:04.272959
APP-fac7f307,CASE-2017,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T05:16:04.272959
APP-3e857326,CASE-2018,PENDING,"Recommend RETRY delay 30m. Amount ₹1,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T10:16:04.274968
APP-05e42f61,CASE-2019,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T02:16:04.274968
APP-fa6661a0,CASE-2020,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T03:16:04.274968
APP-6768357a,CASE-2021,PENDING,"Recommend RETRY delay 30m. Amount ₹4,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T01:16:04.274968
APP-da22ecf2,CASE-2022,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:04.274968
APP-e6bdbe17,CASE-2024,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T17:16:04.274968
APP-108631a6,CASE-2025,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T23:16:04.274968
APP-38818ee1,CASE-2026,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T23:16:04.274968
APP-0716c9dc,CASE-2027,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T13:16:04.274968
APP-36163f95,CASE-2029,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T16:16:04.274968
APP-8a8db04e,CASE-2030,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T20:16:04.274968
APP-9b831243,CASE-2031,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:04.274968
APP-0f0a58c0,CASE-2034,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T00:16:04.276625
APP-91d1875a,CASE-2035,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T01:16:04.276625
APP-9c46e9c8,CASE-2036,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:04.276625
APP-04f5d10d,CASE-2037,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T14:16:04.276625
APP-792776f4,CASE-2038,PENDING,"Recommend RETRY delay 30m. Amount ₹3,681.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T02:16:04.276625
APP-bc581f68,CASE-2039,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-26T18:16:04.276625
APP-4c95d9bb,CASE-2041,PENDING,"Recommend RETRY delay 30m. Amount ₹2,181.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T09:16:04.276625
APP-908d7434,CASE-2042,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T12:16:04.276625
APP-0f27281e,CASE-2043,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T03:16:04.276625
APP-4d915e30,CASE-2044,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T04:16:04.276625
APP-2b736722,CASE-2045,PENDING,"Recommend RETRY delay 30m. Amount ₹11,682.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-28T06:16:04.276625
APP-b1434c55,CASE-2046,PENDING,"Recommend RETRY delay 30m. Amount ₹7,182.23 exceeds threshold.",Policy requires human sign-off for high value or medium risk cases.,2026-08-27T03:16:04.276625
